incident_id,inc_descrip,route,direction,Marker,number,inc_start,inc_duration,lanecount,blkDuration,respTime,rural
171351,Multivehicle Crash,I-40,Westbound,Milepost,369,8/27/2017 15:05,124,2,16,9,Urban
171356,Single Vehicle Crash,I-40,Eastbound,Milepost,385,8/27/2017 16:18,27,0,0,0,Urban
171364,Multivehicle Crash,I-40,Westbound,Milepost,373,8/27/2017 17:41,33,0,0,2,Urban
171480,Single Vehicle Crash,I-40,Westbound,Milepost,387,8/29/2017 8:37,42,0,0,0,Urban
171496,Single Vehicle Crash,I-40,Eastbound,Milepost,390,8/29/2017 10:53,90,0,0,12,Urban
171505,Multivehicle Crash,I-75,Northbound,Milepost,65,8/29/2017 12:50,22,1,20,1,Rural
171517,Multivehicle Crash,I-40,Eastbound,Milepost,381,8/29/2017 15:49,33,0,0,0,Urban
171532,Multivehicle Crash,I-140,Westbound,Milepost,0,8/30/2017 7:33,61,1,2,1,Urban
171534,Multivehicle Crash,I-40,Eastbound,Milepost,378,8/30/2017 8:29,38,1,5,3,Urban
171536,Multivehicle Crash,I-75,Southbound,Milepost,108,8/30/2017 8:39,40,1,9,0,Urban
171562,Multivehicle Crash,I-40,Eastbound,Milepost,380,8/30/2017 13:06,27,0,0,0,Urban
171571,Single Vehicle Crash,I-140,Westbound,Milepost,1,8/30/2017 14:44,113,0,0,6,Urban
171582,Multivehicle Crash,I-75,Northbound,Milepost,108,8/30/2017 15:58,117,0,0,0,Urban
171591,Multivehicle Crash,I-140,Westbound,Milepost,0,8/30/2017 17:45,65,1,11,5,Urban
171597,Single Vehicle Crash,I-40,Eastbound,Milepost,420,8/31/2017 3:17,224,1,206,1,Rural
171599,Single Vehicle Crash,I-640,Eastbound,Milepost,1,8/31/2017 6:34,23,0,0,4,Urban
171642,Multivehicle Crash,I-75,Northbound,Milepost,77,8/31/2017 15:29,80,1,69,26,Rural
171648,Single Vehicle Crash,I-40,Westbound,Milepost,393,8/31/2017 16:44,64,0,0,0,Urban
171649,Multivehicle Crash,I-140,Eastbound,Milepost,0,8/31/2017 16:52,33,2,27,6,Urban
171650,Multivehicle Crash,I-140,Westbound,Milepost,0,8/31/2017 17:18,80,1,12,3,Urban
171664,Overturned Vehicle,I-40,Westbound,Milepost,343,9/1/2017 1:25,67,1,65,N/A,Rural
171667,Single Vehicle Crash,I-40,Westbound,Milepost,341,9/1/2017 6:02,32,1,30,N/A,Rural
171671,Single Vehicle Crash,I-640,Westbound,Milepost,2,9/1/2017 7:27,74,0,0,1,Urban
171673,Multivehicle Crash,I-40,Eastbound,Milepost,378,9/1/2017 8:00,77,0,0,0,Urban
171682,Single Vehicle Crash,I-40,Westbound,Milepost,389,9/1/2017 9:52,50,1,8,1,Urban
171683,Single Vehicle Crash,I-40,Westbound,Milepost,385,9/1/2017 9:57,37,1,15,6,Urban
171715,Vehicle Fire,I-40,Eastbound,Milepost,400,9/1/2017 15:41,130,1,125,0,Urban
171721,Single Vehicle Crash,I-640,Westbound,Milepost,2,9/1/2017 16:28,45,1,0,0,Urban
171725,Multivehicle Crash,I-40,Eastbound,Milepost,377,9/1/2017 17:26,177,2,1,6,Urban
171733,Multivehicle Crash,I-40,Westbound,Milepost,381,9/1/2017 18:40,183,0,0,6,Urban
171734,Multivehicle Crash,I-40,Westbound,Milepost,381,9/1/2017 18:48,84,0,0,N/A,Urban
171735,Multivehicle Crash,I-275,Northbound,Milepost,1,9/1/2017 19:30,53,1,42,7,Urban
171736,Vehicle Fire,I-40,Westbound,Milepost,410,9/1/2017 20:54,51,1,50,N/A,Rural
171737,Single Vehicle Crash,I-40,Eastbound,Milepost,345,9/1/2017 21:43,46,1,44,N/A,Rural
171738,Single Vehicle Crash,I-40,Westbound,Milepost,390,9/2/2017 4:07,77,3,75,3,Urban
171748,Single Vehicle Crash,I-40,Westbound,Milepost,383,9/2/2017 10:14,1640,0,0,13,Urban
171777,Single Vehicle Crash,I-40,Westbound,Milepost,415,9/2/2017 16:09,38,1,30,N/A,Rural
171783,Single Vehicle Crash,I-140,Eastbound,Milepost,0,9/2/2017 16:49,73,1,17,9,Urban
171790,Single Vehicle Crash,I-640,Westbound,Milepost,4,9/2/2017 17:54,35,1,34,0,Urban
171832,Multivehicle Crash,I-40,Eastbound,Milepost,358,9/3/2017 15:28,10,1,4,N/A,Rural
171878,Multivehicle Crash,I-40,Westbound,Milepost,372,9/4/2017 10:38,31,0,0,3,Urban
171927,Multivehicle Crash,I-275,Southbound,Milepost,1,9/5/2017 6:58,55,0,0,6,Urban
171951,Single Vehicle Crash,I-40,Eastbound,Milepost,383,9/5/2017 10:33,55,1,16,6,Urban
171957,Single Vehicle Crash,I-40,Eastbound,Milepost,385,9/5/2017 10:58,14,1,13,0,Urban
171972,Single Vehicle Crash,I-640,Westbound,Milepost,3,9/5/2017 13:55,35,2,18,3,Urban
171973,Multivehicle Crash,I-640,Westbound,Milepost,6,9/5/2017 14:27,33,1,31,11,Urban
171976,Single Vehicle Crash,I-40,Westbound,Milepost,383,9/5/2017 15:19,12,0,0,N/A,Urban
171980,Single Vehicle Crash,I-75,Northbound,Milepost,114,9/5/2017 15:51,8,0,0,0,Urban
171981,Multivehicle Crash,I-40,Westbound,Milepost,387,9/5/2017 16:06,1043,1,0,39,Urban
171983,Single Vehicle Crash,I-75,Northbound,Milepost,158,9/5/2017 16:39,60,1,59,N/A,Rural
